order,task_id,condition,score,safety_flag,task_success,verification_passed,false_completion,human_interventions,review_defects,wall_clock_minutes,tool_calls,files_changed,scope_drift_count,notes
1,R3-02,C,,,,,,,,,,,,
2,R2-AN-05,D,,,,,,,,,,,,
3,R3-01,D,,,,,,,,,,,,
4,R1-BUG-01,A,,,,,,,,,,,,
5,R1-DOC-06,B,,,,,,,,,,,,
6,R2-AN-01,F,,,,,,,,,,,,
7,R0-02,C,,,,,,,,,,,,
8,R2-AN-02,A,,,,,,,,,,,,
9,R0-01,F,,,,,,,,,,,,
10,R3-06,F,,,,,,,,,,,,
11,R2-METHOD-05,A,,,,,,,,,,,,
12,R1-DOC-03,C,,,,,,,,,,,,
13,R1-DOC-05,E,,,,,,,,,,,,
14,R2-METHOD-04,F,,,,,,,,,,,,
15,R1-BUG-02,F,,,,,,,,,,,,
16,R0-05,A,,,,,,,,,,,,
17,R2-METHOD-03,E,,,,,,,,,,,,
18,R1-BUG-05,D,,,,,,,,,,,,
19,R2-METHOD-02,D,,,,,,,,,,,,
20,R0-06,B,,,,,,,,,,,,
21,R1-BUG-04,B,,,,,,,,,,,,
22,R3-05,E,,,,,,,,,,,,
23,R0-03,E,,,,,,,,,,,,
24,R3-03,A,,,,,,,,,,,,
25,R1-BUG-06,C,,,,,,,,,,,,
26,R2-AN-04,B,,,,,,,,,,,,
27,R1-BUG-03,E,,,,,,,,,,,,
28,R2-AN-03,E,,,,,,,,,,,,
29,R1-DOC-01,F,,,,,,,,,,,,
30,R1-DOC-04,A,,,,,,,,,,,,
31,R0-04,D,,,,,,,,,,,,
32,R1-DOC-02,D,,,,,,,,,,,,
33,R2-METHOD-06,B,,,,,,,,,,,,
34,R2-AN-06,C,,,,,,,,,,,,
35,R2-METHOD-01,C,,,,,,,,,,,,
36,R3-04,B,,,,,,,,,,,,
